,公司,年份,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明
12,1435,2015,104/06/23,21:12:07,廖桂珍,稽核室協理,(02)82422881,本公司董事會決議通過第三屆薪資報酬委員會委員,第 6 款,104/06/23,"1.發生變動日期:104/06/23
2.功能性委員會名稱:薪資報酬委員會
3.舊任者姓名及簡歷:
黃立中:中福國際股份有限公司董事長
張五益:安侯建業聯合會計師事務所會計師
劉雪明:南山人壽股份有限公司區經理
4.新任者姓名及簡歷:
張五益:安侯建業聯合會計師事務所會計師
劉雪明:南山人壽股份有限公司區經理
胡冠屹:兩岸經濟合作促進會秘書長
5.異動情形（請輸入「辭職」、「解任」、「任期屆滿」或「新任」）:任期屆滿
6.異動原因:配合董監事全面改選
7.原任期（例xx/xx/xx ~ xx/xx/xx）:101/06/27~104/06/26
8.新任生效日期:104/06/23
9.其他應敘明事項:無"
13,1435,2015,104/06/23,21:12:30,廖桂珍,稽核室協理,(02)82422881,解除本公司董事競業禁止限制案,第 21 款,104/06/23,"1.股東會決議日:104/06/23
2.許可從事競業行為之董事姓名及職稱:
黃立中 董事
黃清晏 董事
胡立三 董事
林健昌 董事
林永冠 董事
胡冠屹 獨立董事
劉雪明 獨立董事
3.許可從事競業行為之項目:
黃立中:中福整合行銷有限公司董事長、杰亨公司董事長
黃清晏:台灣產經研究會理事
胡立三:先進醫藥奈米科技公司董事、遠東航空公司監察人、福興投資股份有限公司
監察人、川飛能源股份有限公司董事、三顧股份有限公司董事
林健昌:頂霖國際有限公司總裁、雲南白藥台灣總代理商、中華健美協會理事長、中華
體育總會常務理事、東洋國際醫學雲南白藥有限公司董事長
林永冠:豪龍興業股份有限公司董事長、豪英投資股份有限公司董事長、通用矽酮股份
有限公司董事、副董事長、豪凌投資股份有限公司董事、豪峰投資股份有限公司董事、
豪志投資股份有限公司董事
胡冠屹:兩岸經濟合作促進會秘書長、北京奇昂環保科技有限公司執行董事、北京奇碩
醫療器械有限公司執行董事
劉雪明:南山人壽股份有限公司區經理
4.許可從事競業行為之期間:任職本公司董事之職務期間
5.決議情形（請依公司法第209條說明表決結果）:
依公司法第209條，經主席徵詢全體出席股東，無異議照案通過
6.所許可之競業行為如屬大陸地區事業之營業者，董事姓名及職稱
（非屬大陸地區事業之營業者，以下請輸〝不適用〞）:胡冠屹、獨立董事
7.所擔任該大陸地區事業之公司名稱及職務:
北京奇昂環保科技有限公司:執行董事
北京奇碩醫療器械有限公司:執行董事
8.所擔任該大陸地區事業地址:
北京奇昂環保科技有限公司:北京市朝陽區西大望路甲12號2號樓2層20988
北京奇碩醫療器械有限公司:北京市西城區廣安門外大街305號院五區5號4單元301室
9.所擔任該大陸地區事業營業項目:
北京奇昂環保科技有限公司:專業承包、技術開發、諮詢、機械設備、技術進出口等
北京奇碩醫療器械有限公司:第一、二、三類醫療器械販售及代理、技術開發
10.對本公司財務業務之影響程度:無
11.董事如有對該大陸地區事業從事投資者，其投資金額及持股比例:不適用
12.其他應敘明事項:無"
14,1435,2015,104/08/10,11:20:12,廖桂珍,稽核室協理,(02)82422881,公告蘇迪勒颱風對本公司財務及業務並無重大影響,第 49 款,104/08/10,"1.事實發生日:104/08/10
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:不適用
6.報導內容:不適用
7.發生緣由:蘇迪勒颱風對本公司財務及業務並無重大影響
8.因應措施:無
9.其他應敘明事項:無"
15,1435,2016,105/03/16,19:23:58,廖桂珍,稽核室協理,(02)82422881,董事會決議股利分派,第 14 款,105/03/15,"1. 董事會決議日期：2016/03/15
2. 股東配發內容：
　(1)盈餘分配之現金股利(元/股)：0
　(2)法定盈餘公積、資本公積發放之現金(元/股)：0
　(3)股東配發之現金(股利)總金額(元)：0
　(4)盈餘轉增資配股(元/股)：0
　(5)法定盈餘公積、資本公積轉增資配股(元/股)：0
　(6)股東配股總股數(股)：0
3. 其他應敘明事項：
無
4. 普通股每股面額欄位：新台幣                 10.0000元"
16,1435,2016,105/03/16,19:33:58,廖桂珍,稽核室協理,(02)82422881,公告本公司董事會決議召開105年股東常會事宜,第 17 款,105/03/15,"1.董事會決議日期:105/03/15
2.股東會召開日期:105/06/23
3.股東會召開地點:新北市中和區景平路666號1樓
4.召集事由:
(一)報告事項
    1.本公司104年度營業狀況報告。
    2.監察人審查本公司104年度決算表冊報告。
(二)承認事項
    1.本公司104年度決算表冊案。
    2.本公司104年度盈虧撥補案。
(三)討論及選舉事項
    1.修訂本公司章程部份條文案
(四)臨時動議
5.停止過戶起始日期:105/04/25
6.停止過戶截止日期:105/06/23
7.其他應敘明事項:
(一)股東提案權
1.持有1%以上股份之股東得以書面於所公告受理期間向本公司提出
  105年股東常會議案，提案限一項並以300字為限，提案超過一項
  或300字者，均不列入議案。
2.本公司受理股東之提案處所：新北市中和區景平路666號2樓。
3.本公司受理股東之提案期間：105年4月17日起至105年4月27日止。
4.提案股東應親自或委託他人出席股東常會，並參與該項議案討論。
5.以上所提及其他未盡事宜，均依公司法第172-1條規定辦理。"
17,1435,2016,105/03/31,18:59:41,廖桂珍,稽核室協理,(02)82422881,更正財務資訊,第 49 款,105/03/31,"1.事實發生日:105/03/31
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:不適用
6.報導內容:不適用
7.發生緣由:更正財務資訊
8.因應措施:每股虧損為-0.03元,誤植為-0.00,已完成更正
9.其他應敘明事項:不適用"
18,1435,2016,105/05/05,14:22:41,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年3月底之財務狀況(自結合併),第 49 款,105/05/05,"1.事實發生日:105/05/05
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:不適用
6.報導內容:不適用
7.發生緣由:依臺灣證券交易所(股)公司於105/05/04日
臺證上一字第1051802000號函辦理
8.因應措施:不適用
9.其他應敘明事項:本公司截至105年03月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$55.142仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$31,598仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
19,1435,2016,105/05/05,17:49:36,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年3月底之財務狀況(自結合併),第 49 款,105/05/05,"1.事實發生日:105/05/05
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:不適用
6.報導內容:不適用
7.發生緣由:依臺灣證券交易所(股)公司於105/05/04日
臺證上一字第1051802000號函辦理
8.因應措施:不適用
9.其他應敘明事項:本公司截至105年03月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$55,142仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$31,598仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
20,1435,2016,105/05/31,19:41:10,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年4月底之財務狀況(自結合併),第 49 款,105/05/31,"1.事實發生日:105/05/31
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年04月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$56,406仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$29,793仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0"
21,1435,2016,105/06/23,18:46:39,廖桂珍,稽核室協理,(02)82422881,105年股東常會重要決議事項,第 18 款,105/06/23,"1.股東常會日期:105/06/23
2.重要決議事項一、盈餘分配或盈虧撥補:通過承認本公司ㄧ0四年度盈虧撥補案。
3.重要決議事項二、章程修訂:通過修正本公司章程部份條文案
4.重要決議事項三、營業報告書及財務報表:
                 通過承認本公司ㄧ0四年度營業報告書及財務報表案。
5.重要決議事項四、董監事選舉:無
6.重要決議事項五、其他事項:無
7.其他應敘明事項:不分派股利或股息"
22,1435,2016,105/06/30,19:25:58,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年5月底之財務狀況(自結合併),第 49 款,105/06/30,"1.事實發生日:105/06/30
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年05月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$72,759仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$8,795仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0"
23,1435,2016,105/07/27,12:16:25,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年6月底之財務狀況(自結合併),第 49 款,105/07/26,"1.事實發生日:105/07/26
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年06月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$87,237仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$13,722仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
24,1435,2016,105/08/04,17:24:01,廖桂珍,稽核室協理,(02)82422881,會計主管異動事宜,第 8 款,105/08/04,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運
長、行銷長及策略長等)、財務主管、會計主管、研發主管、內部稽核主管或訴
訟及非訟代理人）:會計主管
2.發生變動日期:105/08/04
3.舊任者姓名、級職及簡歷:許美瑩
4.新任者姓名、級職及簡歷:楊素燕
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:職務調整
6.異動原因:職務調整
7.生效日期:105/08/04
8.其他應敘明事項:無"
25,1435,2016,105/08/26,17:29:35,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年7月底之財務狀況(自結合併),第 49 款,105/08/26,"1.事實發生日:105/08/26
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年07月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$61,117仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$14,377仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
26,1435,2016,105/09/23,14:17:28,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年8月底之財務狀況(自結合併),第 49 款,105/09/23,"1.事實發生日:105/09/23
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年08月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$45,284仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$14,699仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
27,1435,2016,105/10/25,13:39:05,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年9月底之財務狀況(自結合併),第 49 款,105/10/24,"1.事實發生日:105/10/24
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年09月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$44,722仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$14,822仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
28,1435,2016,105/11/17,16:22:01,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年10月底之財務狀況(自結合併),第 49 款,105/11/17,"1.事實發生日:105/11/17
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年10月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$44,830仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$13,490仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
29,1435,2016,105/12/21,18:24:22,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年11月底之財務狀況(自結合併),第 49 款,105/12/20,"1.事實發生日:105/12/20
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年11月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$46,817仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$14,769仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
30,1435,2017,106/01/19,13:54:34,廖桂珍,稽核室協理,(02)82422881,公告本公司截至105年12月底之財務狀況(自結合併),第 49 款,106/01/19,"1.事實發生日:106/01/19
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:不適用
6.因應措施:無
7.其他應敘明事項:本公司截至105年12月底止之財務狀況(自結)
一.高流動性資產
   (1)現金及約當現金:NTD$35,710仟元
   (2)透過損益按公允價值衡量之金融資產-流動:NTD$20,145仟元
   (3)備供出售金融資產-流動:0
   (4)持有至到期日金融資產-流動及非流動資產中屬上市櫃有價證券:0
二.(1)短期借款:0
   (2)應付短期票據:0
   (3)一年內到期之長期負債金額:0
三.無資金缺口"
31,1435,2017,106/02/03,16:34:11,廖桂珍,稽核室協理,(02)82422881,"係因本公司有價證券於集中交易市場達公布注意交易資訊
標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。",第 49 款,106/02/03,"1.事實發生日:106/02/03
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:依台灣證券交易所通知辦理。
6.因應措施:
一、本公司之基本資料公告如下:(單位:新台幣仟元,惟每股盈餘(虧損)為元)
(1)項目   最近一月(105年12月)    與去年同期增減(%)
營業收入       2,885                 8.87
稅前損益       1,704               233.75
稅後純益       1,704               233.75
每股盈餘        0.01               200.00
最近一月(105年12月)財務數字係本公司自結數，尚未經會計師查核簽證。
(2)項目   最近二月(105/12~11)   與去年同期增減(%)
營業收入       5,530                 5.01
稅前損益       2,123               144.86
稅後純益       2,123               144.86
每股盈餘        0.02               150.00
(3)項目   最近一季(105/Q3)   與去年同期增減(%)
營業收入      8,247                 10.61
稅前損益         29                -95.12
稅後純益         29                -95.12
每股盈餘          0               -100.00
最近一季(105/Q3)財務數字係經會計師查核簽證。
二、本公司營運正常，公司股票價格係由市場機能決定，與內部人並無關聯。
三、本公司並無「台灣證券交易所股份有限公司對上市公司重大訊息之查證
暨公開處理程序」第二條所列重大訊息情事。
7.其他應敘明事項:無"
32,1435,2017,106/02/06,16:17:10,廖桂珍,稽核室協理,(02)82422881,"補充105/02/03日公告-係因本公司有價證券於集中交易市場
達公布注意交易資訊標準，故公布相關財務業務等重大訊息，以
利投資人區別瞭解。",第 49 款,106/02/03,"1.事實發生日:106/02/03
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:依台灣證券交易所通知辦理。
6.因應措施:
一、本公司之基本資料公告如下:(單位:新台幣仟元,惟每股盈餘(虧損)為元)
(1)項目   最近一月(105年12月)    與去年同期增減(%)
營業收入       2,885                 8.87
稅前損益       1,704               233.75
稅後純益       1,704               233.75
每股盈餘        0.01               200.00
最近一月(105年12月)財務數字係本公司自結數，尚未經會計師核閱或查核。
(2)項目   最近一季(105/Q3)   與去年同期增減(%)
營業收入       8,247                10.61
稅前損益          29               -95.12
稅後純益          29               -95.12
每股盈餘           0              -100.00
最近一季(105/Q3)財務數字係經會計師核閱。
(3)項目　 最近一年(104/Q4~105/Q3)
營業收入      29,042
稅前損益      -9,457
稅後純益      -9,496
每股盈餘           0
最近一季(104/Q4~105/Q3)財務數字係經會計師核閱或查核。
二、本公司營運正常，公司股票價格係由市場機能決定，與內部人並無關聯。
三、本公司並無「台灣證券交易所股份有限公司對上市公司重大訊息之查證
暨公開處理程序」第四條所列重大訊息情事。
7.其他應敘明事項:無"
